day0,day1,day2,day3,day4,day5,day6,day7,day8,day9,Average,Max,Min,Up_or_Down
553.38,562.6,539.47,529.15,531.06,534.97,555.02,534.63,527.17,533.35,540.08,562.6,527.17,0
525.22,529.9,526.48,526.36,513.73,508.56,509.6,517.31,528.47,531.63,521.726,531.63,508.56,0
549.84,550.25,542.79,541.52,551.85,553.38,554.84,563.4,563.07,577.07,554.8009999999999,577.07,541.52,0
583.13,580.66,569.53,574.5,569.54,577.59,583.27,583.18,581.06,572.16,577.4619999999999,583.27,569.53,1
571.91,580.57,585.25,582.89,581.77,580.96,578.61,576.28,569.44,567.64,577.532,585.25,567.64,1
588.11,579.42,581.5,579.76,574.04,571.53,578.36,583.17,587.66,594.45,581.8,594.45,571.53,0
519.41,525.1,531.25,542.49,538.3,539.29,547.4,547.83,548.8,557.55,539.7420000000001,557.55,519.41,0
545.99,548.78,545.81,543.89,542.91,535.04,533.57,535.52,533.37,536.03,540.091,548.78,533.37,1
529.14,527.32,532.57,528.88,528.97,524.96,523.37,512.46,500.59,499.73,520.799,532.57,499.73,1
500.42,506.69,505.51,516.62,532.93,538.47,533.74,517.21,508.6,509.26,516.9449999999999,538.47,500.42,1
569.78,572.07,571.8,573.75,566.13,567.29,553.49,549.67,553.99,545.82,562.3789999999999,573.75,545.82,1
557.28,568.63,557.26,553.65,546.84,550.52,546.5,541.07,534.06,535.3,549.111,568.63,534.06,1
530.8,524.22,530.7,538.22,535.7,529.04,529.62,538.4,533.85,532.3,532.2850000000001,538.4,524.22,1
539.79,539.78,532.11,533.99,539.18,540.31,536.7,533.33,526.83,526.69,534.8709999999999,540.31,526.69,1
520.68,530.13,546.55,561.1,560.22,579.85,672.93,663.02,662.3,662.1,595.888,672.93,520.68,0
632.59,625.61,631.21,629.25,643.78,642.68,635.3,633.73,660.78,659.56,639.449,660.78,625.61,0
625.77,623.24,635.14,635.98,642.9,629.25,635.44,622.69,622.36,625.8,629.857,642.9,622.36,0
626.91,641.47,645.44,642.36,639.16,643.61,646.67,652.3,651.16,661.74,645.082,661.74,626.91,1
717.0,728.96,725.3,740.0,738.41,756.6,755.98,748.28,748.15,750.26,740.894,756.6,717.0,0
763.25,762.37,751.61,749.46,738.87,747.77,743.4,758.09,749.43,739.31,750.356,763.25,738.87,1
706.59,725.25,711.67,713.04,699.99,730.96,742.95,752.0,764.65,726.95,727.405,764.65,699.99,0
683.11,682.4,691.0,708.4,697.35,700.91,706.46,695.85,699.56,705.75,697.0790000000001,708.4,682.4,0
733.53,744.77,750.53,744.95,749.91,745.29,737.8,745.69,740.28,739.15,743.1899999999998,750.53,733.53,0
766.61,753.93,752.67,759.14,718.77,723.15,708.14,705.84,691.02,693.01,727.2280000000001,766.61,691.02,1
735.72,734.15,730.4,722.34,716.55,716.65,728.28,728.58,719.41,718.36,725.0439999999999,735.72,716.55,0
695.94,697.46,701.87,675.22,668.26,680.04,684.11,692.1,699.21,694.95,688.9159999999999,701.87,668.26,1
773.18,771.61,782.22,781.76,784.26,784.68,784.85,783.22,782.44,777.14,780.5360000000002,784.85,771.61,1
769.64,769.41,769.54,772.15,769.09,767.05,768.78,771.46,780.08,780.35,771.755,780.35,767.05,0
776.86,775.08,785.94,783.07,786.14,778.19,778.53,779.96,795.26,801.5,784.0530000000001,801.5,775.08,0
795.35,795.37,784.54,783.61,768.7,762.13,762.02,782.52,790.51,785.31,781.0060000000001,795.37,762.02,0
789.29,789.27,796.1,797.07,797.85,790.8,794.2,796.42,794.56,791.26,793.682,797.85,789.27,0
786.14,786.9,794.02,806.15,806.65,804.79,807.91,806.36,807.88,804.61,801.1409999999998,807.91,786.14,1
818.98,824.16,828.07,831.66,830.76,831.33,828.64,829.28,823.21,835.24,828.133,835.24,818.98,0
838.68,843.25,845.54,845.62,847.2,848.78,852.12,848.4,830.46,829.59,842.9639999999999,852.12,829.59,0
843.19,862.76,872.3,871.73,874.25,905.96,912.57,916.44,927.04,931.66,891.79,931.66,843.19,0
932.22,937.08,943.0,919.62,930.24,934.01,941.86,948.82,954.96,969.54,941.1349999999999,969.54,919.62,1
952.27,927.33,940.49,917.79,908.73,898.7,911.71,906.69,918.59,928.8,921.11,952.27,898.7,1
965.4,970.89,968.15,972.92,980.34,950.7,947.8,934.09,941.53,930.5,956.232,980.34,930.5,1
921.29,929.57,939.33,937.34,928.45,927.81,935.95,926.5,929.08,932.07,930.7390000000001,939.33,921.29,1
931.58,932.45,928.53,920.97,924.86,944.49,949.5,959.11,953.27,957.79,940.2549999999999,959.11,920.97,0
